Fighting -> Rock -> Flying (<- 0.5x | 2x ->)
Fighting -> Steel -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Ice -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Ice -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Electric/Normal -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Rock/Fighting -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Ice/Ground -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Rock/Grass -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Ice/Water -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Electric/Ice -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Electric/Dark -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Dragon/Ice -> Flying/Normal (<- 1x | 2x ->)
Fighting -> Ground/Normal -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Ground/Normal -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Ground/Normal -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Ground/Normal -> Steel/Fairy (<- 1x | 2x ->)
Fighting -> Fire/Normal -> Flying/Steel (<- 1x | 2x ->)
Fighting -> Fire/Normal -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Fire/Normal -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Fire/Normal -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Water/Normal -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Water/Normal -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Water/Normal -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Normal/Grass -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Normal/Grass -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Electric/Normal -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Electric/Normal -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Electric/Normal -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Dark/Fighting -> Psychic/Normal (<- 1x | 2x ->)
